ID,title,link,address,latlng,review,type
451,Cơm Tấm Cô Hai - Cơm Tấm - 70 Kỳ Đồng,https://shopeefood.vn/da-nang/com-tam-co-hai-com-tam-70-ky-dong.hrctoa,"70 Kỳ Đồng, P. Xuân Hà, Quận Thanh Khê, Đà Nẵng",,,restaurant
452,Hủ Hiếu Nam Vang Số 1 Miền Tây - Phạm Cự Lượng,https://shopeefood.vn/da-nang/hu-hieu-nam-vang-so-1-mien-tay-pham-cu-luong,"K38/2 Phạm Cự Lượng, P.An Hải Đông, Quận Sơn Trà, Đà Nẵng",,,restaurant
453,Tiệm ADA - Trà Trái Cây & Sữa Chua Lắc - 285 Ông Ích Đường,https://shopeefood.vn/da-nang/tiem-ada-tra-trai-cay-sua-chua-lac-285-ong-ich-duong,"285 Ông Ích Đường, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
454,Cơm Bình Dân & Nước Ép - 219 Núi Thành,https://shopeefood.vn/da-nang/com-binh-dan-nuoc-ep-219-nui-thanh,"219 Núi Thành, P. Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",,,restaurant
455,Royaltea - Trà Sữa & Ăn Vặt - Cách Mạng Tháng Tám,https://shopeefood.vn/da-nang/royaltea-tra-sua-an-vat-cach-mang-thang-tam,"K383/29 Cách Mạng Tháng Tám, P. Hoà Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
456,KYOTO - Lẩu Khói Foods Và Drinks - Trần Duy Chiến,https://shopeefood.vn/da-nang/kyoto-lau-khoi-foods-va-drinks-tran-duy-chien,"152/8 Trần Duy Chiến, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",,,restaurant
457,Chucati Tea & Coffee - Yên Bái,https://shopeefood.vn/da-nang/chucati-tea-coffee-yen-bai,"08 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",,,restaurant
458,Ốc Bé Ly - Hải Phòng,https://shopeefood.vn/da-nang/oc-be-ly-hai-phong,"204 Hải Phòng, P. Tam Thuận, Quận Thanh Khê, Đà Nẵng",,,restaurant
459,Bếp Cô Mèo - Ăn Vặt & Nước Ép,https://shopeefood.vn/da-nang/bep-co-meo-an-vat-nuoc-ep,"11 Hòa An 14, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
460,"NaBi Food & Drink - KimBap, HotDog & Trà Sữa - Liên Chiểu",https://shopeefood.vn/da-nang/nabi-food-drink-kimbap-hotdog-tra-sua-lien-chieu,"77 Đặng Huy Trứ, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,Yêu thích,restaurant
461,"Bếp Phương - Tré, Chân Gà & Trà Giải Nhiệt",https://shopeefood.vn/da-nang/bep-phuong-tre-chan-ga-tra-giai-nhiet,"298/14 Nguyễn Công Hoan, P. Hoà An, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
462,Tiệm Bánh - Ăn Vặt - Trà Châu Kiệt,https://shopeefood.vn/da-nang/tiem-banh-an-vat-tra-chau-kiet,"41 Nguyễn Phong Sắc, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
463,"Yoyo - Bánh Tráng Kẹp, Bánh Tráng Trộn & Nước Ép",https://shopeefood.vn/da-nang/yoyo-banh-trang-kep-banh-trang-tron-nuoc-ep,"640/01 Trưng Nữ Vương, P. Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",,,restaurant
464,Bánh Mì Nướng Muối Ớt & Cà Phê Muối - Cậu Tư,https://shopeefood.vn/da-nang/banh-mi-nuong-muoi-ot-ca-phe-muoi-cau-tu,"257 Trần Hưng Đạo, P.An Hải Bắc, Quận Sơn Trà, Đà Nẵng",,,restaurant
465,Onjoo’s Kitchen - Kimbap Online,https://shopeefood.vn/da-nang/onjoo-s-kitchen-kimbap-online,"50 Đà Sơn 6, P. Hòa Khánh Nam - Nhà Phế Liệu Tới Thêm 2 Nhà, Quận Liên Chiểu, Đà Nẵng",,,restaurant
466,"Bếp Nhà Tép - Mỳ Quảng, Ốc & Lẩu 1 Người 39K",https://shopeefood.vn/da-nang/bep-nha-tep-my-quang-oc-lau-1-nguoi-39k,"174 Xô Viết Nghệ Tĩnh, P. Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",,,restaurant
467,CHÂN GÀ SỐT THÁI - CHÚ HẢI 68,https://shopeefood.vn/da-nang/chan-ga-sot-thai-chu-hai-68,"46 Nguyễn Nhược Pháp, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
468,Cơm Gà & Sườn Hồng Phát - Cơm Chiên Thố,https://shopeefood.vn/da-nang/com-ga-suon-hong-phat-com-chien-tho,"76 Lâm Quang Thự, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
469,Chip Bánh Kẹp - 16B Mai Dị,https://shopeefood.vn/da-nang/chip-banh-kep-16b-mai-di,"16B Mai Dị, Quận Hải Châu, Đà Nẵng",,,restaurant
470,Cháo Dinh Dưỡng Cao Cấp ABC,https://shopeefood.vn/da-nang/chao-dinh-duong-cao-cap-abc,"773 Trần Cao Vân, P. Thanh Khê Đông , Quận Thanh Khê, Đà Nẵng",,Yêu thích,restaurant
471,"Pizza, Fried Chicken & Spaghetti Moonte",https://shopeefood.vn/da-nang/pizza-fried-chicken-spaghetti-moonte,"259/23 Trần Cao Vân, P. Chính Gián, Quận Thanh Khê, Đà Nẵng",,,restaurant
472,Pizza Center,https://shopeefood.vn/da-nang/pizza-center,"259/23 Trần Cao Vân, P. Xuân Hà, Quận Thanh Khê, Đà Nẵng",,,restaurant
473,Mì Quảng & Bánh Canh - Lý Thường Kiệt,https://shopeefood.vn/da-nang/mi-quang-banh-canh-ly-thuong-kiet,"18/22 Lý Thường Kiệt, P. Thạch Thang, Quận Hải Châu, Đà Nẵng",,,restaurant
474,Trà Sữa & Ăn Vặt Miu Miu,https://shopeefood.vn/da-nang/tra-sua-an-vat-miu-miu-,"24 Diệp Minh Châu, P. Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
